Name,Age,Team,Pos,G,Tck,Solo,Asst,TFL,Sack,PBU,INT,INT TD,FF,FR,FRTD
Xavier Woods,29,CAR,FS,17,119,72,47,2,0.0,6,3,0,0,0,0
Jeremy Chinn,26,WAS,FS,17,117,73,44,7,2.0,5,1,0,1,2,0
Dorian Williams,23,BUF,RLB,17,117,68,49,5,0.0,0,0,0,1,3,0
Quincy Williams,28,NYJ,LILB,17,116,74,42,14,2.0,4,0,0,4,3,0
Jahlani Tavai,28,NWE,RILB,17,115,58,57,7,1.0,5,1,0,0,0,0
Brandon Jones,26,DEN,FS,16,115,79,36,2,0.0,10,3,0,1,1,0
Devin Lloyd,26,JAX,RLB,16,113,61,52,7,2.0,4,1,0,1,0,0
Quentin Lake,25,LAR,SS,17,111,73,38,1,2.0,5,0,0,0,0,0
Grant Delpit,26,CLE,SS,16,111,68,43,7,1.0,1,0,0,0,1,0
Tremaine Edmunds,26,CHI,MLB,17,110,60,50,3,1.0,8,1,0,1,0,0
Julian Love,26,SEA,FS,17,109,79,30,3,0.0,12,3,0,2,1,0
Brian Branch,23,DET,SS,16,109,79,30,8,1.0,16,4,0,1,0,0
DeShon Elliott,27,PIT,FS,15,108,72,36,4,0.0,6,1,0,2,3,0
Kyle Hamilton,23,BAL,SS,17,107,77,30,4,2.0,9,1,0,2,1,0
Tyrel Dodson,26,2TM,LB,17,107,59,48,5,2.0,6,3,0,1,0,0
Cody Barton,28,DEN,LILB,17,106,53,53,2,1.5,5,2,0,1,1,1
Nick Bolton,24,KAN,LLB,16,106,73,33,11,3.0,6,1,0,1,2,0
Henry To'oTo'o,23,HOU,LLB,15,105,54,51,7,1.5,3,1,0,1,0,0
Tre'von Moehrig,25,LVR,SS,17,104,64,40,5,1.0,10,2,0,0,2,0
Josh Metellus,26,MIN,S,17,103,63,40,2,0.0,5,2,0,1,0,0
Jessie Bates III,27,ATL,SS,17,102,62,40,2,1.0,10,4,1,4,1,0
Jaylon Jones,22,IND,LCB,17,100,66,34,3,0.0,12,2,0,1,0,0
Frankie Luvu,28,WAS,RLB,17,99,54,45,12,8.0,7,1,0,1,2,0
Devon Witherspoon,24,SEA,LCB,17,98,66,32,6,1.0,9,0,0,1,0,0
Jordan Poyer,33,MIA,FS,16,98,51,47,0,0.0,3,0,0,0,0,0
Jalen Thompson,26,ARI,SS,15,98,61,37,3,0.0,3,0,0,0,2,0
Isaiah McDuffie,25,GNB,RLB,17,97,46,51,3,0.5,3,0,0,1,0,0
Camryn Bynum,26,MIN,FS,17,96,54,42,2,0.0,10,3,0,0,2,0
Minkah Fitzpatrick,28,PIT,SS,17,96,62,34,1,0.0,4,1,0,1,0,0
Drue Tranquill,29,KAN,MLB,16,94,54,40,4,2.0,2,0,0,0,2,0
Ernest Jones,25,SEA,LB,10,94,48,46,1,0.5,2,1,0,1,0,0
Mike Sainristil,24,WAS,RCB,17,93,62,31,1,0.0,14,2,0,1,1,0
Derwin James,28,LAC,SS,16,93,60,33,10,5.5,7,1,0,0,1,0
Alontae Taylor,26,NOR,LCB,17,89,61,28,7,4.0,16,0,0,2,0,0
Isaiah Pola-Mao,25,LVR,FS,17,89,57,32,2,1.0,5,0,0,2,0,0
Xavier McKinney,26,GNB,FS,17,88,60,28,2,1.0,11,8,0,0,1,0
Keisean Nixon,27,GNB,LCB,17,88,61,27,8,3.0,7,1,0,3,0,0
Tyrice Knight,24,SEA,ROLB,16,88,41,47,3,1.5,2,0,0,0,1,0
Quan Martin,24,WAS,SS,16,87,50,37,2,0.0,3,1,0,3,0,0
Justin Reid,27,KAN,SS,16,87,61,26,5,0.0,9,2,0,0,0,0
Harrison Smith,35,MIN,SS,16,87,56,31,3,1.0,10,3,0,0,1,0
Julian Blackmon,26,IND,FS,16,86,62,24,1,0.5,4,3,0,0,1,0
Jason Pinnock,25,NYG,SS,16,85,50,35,4,3.0,1,0,0,0,0,0
Deommodore Lenoir,25,SFO,RLB,15,85,53,32,2,0.0,9,2,0,1,0,0
Kerby Joseph,24,DET,FS,17,83,58,25,1,0.0,12,9,1,0,0,0
DeAundre Alford,27,ATL,CB,16,83,61,22,1,1.0,11,0,0,1,0,0
Zyon McCollum,25,TAM,RCB,17,82,55,27,1,0.0,17,2,0,0,1,0
Donovan Wilson,29,DAL,FS,17,82,44,38,6,4.5,5,1,0,2,1,0
Akeem Davis-Gaither,27,CIN,RLB,17,82,41,41,4,0.0,4,1,0,1,1,0
Malik Hooker,28,DAL,SS,17,81,51,30,3,0.0,5,2,0,0,0,0
Byron Murphy,26,MIN,RCB,17,81,62,19,6,0.0,14,6,0,1,0,0
Geno Stone,25,CIN,SS,17,81,47,34,0,0.0,6,4,1,0,1,0
Ja'Quan McMillian,24,DEN,CB,17,81,61,20,4,1.0,10,2,1,1,0,0
Martin Emerson,24,CLE,RCB,17,80,62,18,3,0.0,5,0,0,1,1,0
A'Shawn Robinson,29,CAR,RDE,16,80,43,37,8,5.5,1,0,0,1,0,0
Christian Elliss,25,NWE,LILB,16,80,42,38,1,1.5,5,1,0,1,1,0
Andrew Van Ginkel,29,MIN,RLB,17,79,50,29,18,11.5,6,2,2,1,0,0
Kamren Curl,25,LAR,FS,16,79,49,30,1,1.0,9,0,0,2,1,1
Bryan Cook,25,KAN,FS,17,78,55,23,1,0.0,5,2,0,0,0,0
Payton Wilson,24,PIT,LB,17,78,49,29,3,0.0,2,1,0,1,2,1
Anfernee Jennings,27,NWE,ROLB,16,78,43,35,7,2.5,1,0,0,1,0,0
Tyrique Stevenson,24,CHI,LCB,16,78,51,27,1,0.0,12,2,1,1,0,0
Reed Blankenship,25,PHI,FS,15,78,52,26,0,0.0,6,4,0,0,1,0
Kenny Moore,29,IND,RCB,15,78,51,27,4,0.5,7,3,0,0,1,1
Cam Taylor-Britt,25,CIN,LCB,17,77,58,19,1,0.5,16,3,1,0,0,0
Ji'Ayir Brown,24,SFO,FS,17,77,48,29,3,0.0,6,1,0,0,0,0
Michael Jackson,27,CAR,RCB,17,76,58,18,3,0.0,17,2,0,0,0,0
Jeffery Simmons,27,TEN,DT,16,76,41,35,11,5.0,4,0,0,2,2,0
Devin Bush Jr.,26,CLE,LLB,16,76,45,31,8,1.0,3,0,0,0,0,0
Jarvis Brownlee,23,TEN,LCB,17,75,46,29,7,0.0,9,1,0,0,1,0
Eric Murray,30,HOU,SS,17,75,50,25,2,1.0,10,1,0,0,0,0
Montaric Brown,25,JAX,CB,17,75,55,20,6,0.0,8,1,0,0,0,0
Mack Wilson,26,ARI,LILB,16,75,44,31,4,3.0,5,1,0,0,1,0
Kyler Gordon,25,CHI,DB,15,75,48,27,4,0.5,5,0,0,1,3,0
Grover Stewart,31,IND,NT,17,74,29,45,10,3.5,3,0,0,1,1,0
P.J. Locke,27,DEN,SS,15,74,50,24,3,1.0,2,0,0,1,0,0
Trenton Simpson,23,BAL,RLB,17,73,40,33,5,1.5,4,0,0,0,1,0
Coby Bryant,25,SEA,SS,17,73,48,25,1,0.0,6,3,1,1,0,0
Antonio Johnson,23,JAX,S,17,73,55,18,1,0.0,2,0,0,0,0,0
Justin Strnad,28,DEN,RILB,17,73,48,25,8,3.0,3,0,0,0,0,0
Mike Hilton,30,CIN,CB,16,73,50,23,12,0.0,5,1,0,0,0,0
Eric Wilson,30,GNB,MLB,17,72,38,34,7,2.0,2,1,0,1,0,0
Malik Mustapha,22,SFO,SS,16,72,32,40,2,0.0,5,1,0,0,0,0
Brian Burns,26,NYG,LOLB,17,71,42,29,17,8.5,8,0,0,2,0,0
Cameron Heyward,35,PIT,LDE,17,71,35,36,12,8.0,11,0,0,0,0,0
Harold Landry,28,TEN,ROLB,17,71,42,29,15,9.0,4,0,0,0,0,0
Benjamin St-Juste,27,WAS,LCB,17,71,56,15,0,0.0,7,0,0,1,1,0
Tyrel Dodson,26,SEA,LILB,9,71,41,30,5,2.0,2,0,0,1,0,0
Jourdan Lewis,29,DAL,LCB,16,71,39,32,3,1.0,8,1,0,1,1,0
Brandon Stephens,27,BAL,RCB,17,70,59,11,3,1.5,10,0,0,0,0,0
Joey Porter Jr.,24,PIT,RCB,16,70,53,17,2,0.0,7,1,0,0,0,0
Jack Jones,27,LVR,LCB,17,69,52,17,3,0.0,16,3,1,0,0,0
Cameron Lewis,27,BUF,DB,17,68,47,21,2,0.0,4,1,0,0,0,0
Andre Cisco,24,JAX,SS,16,68,44,24,1,0.0,7,1,0,0,0,0
Jaycee Horn,25,CAR,LCB,15,68,49,19,5,2.0,13,1,0,0,0,0
Davon Godchaux,30,NWE,NT,17,67,24,43,1,0.0,1,0,0,0,0,0
Omar Speights,23,LAR,LILB,17,67,37,30,2,0.0,2,0,0,0,0,0
Marlon Humphrey,28,BAL,LCB,16,67,50,17,5,0.5,15,6,1,2,0,0
AJ Terrell,26,ATL,LCB,17,66,50,16,2,0.0,6,2,0,0,0,0
Jared Verse,24,LAR,ROLB,17,66,36,30,11,4.5,2,0,0,2,2,0
Mike Hughes,27,ATL,RCB,15,66,51,15,4,0.0,6,0,0,0,0,0
Adam Butler,30,LVR,RDT,17,65,36,29,8,5.0,2,0,0,1,0,0
Ar'Darius Washington,25,BAL,S,17,64,45,19,5,1.0,8,2,0,1,0,0
Leonard Williams,30,SEA,LDE,16,64,37,27,16,11.0,3,1,1,0,0,0
Christian Benford,24,BUF,RCB,15,64,50,14,3,1.0,10,2,0,2,1,0
Tyrann Mathieu,32,NOR,FS,17,62,47,15,1,0.0,7,3,0,2,1,0
Kobie Turner,25,LAR,LDE,17,62,35,27,10,8.0,4,0,0,1,1,0
Byron Young,26,LAR,LOLB,17,62,34,28,12,7.5,1,0,0,1,0,0
DaVon Hamilton,27,JAX,RDT,17,62,34,28,5,0.0,0,0,0,0,0,0
Justin Simmons,31,ATL,FS,16,62,36,26,2,0.0,7,2,0,0,0,0
Jevon Holland,24,MIA,SS,15,62,42,20,2,1.0,4,0,0,1,0,0
Carl Granderson,28,NOR,RDE,17,61,36,25,9,5.5,4,0,0,1,0,0
Travon Walker,24,JAX,RDE,17,61,31,30,13,10.5,1,0,0,2,1,1
T.J. Watt,30,PIT,LOLB,17,61,40,21,19,11.5,4,0,0,6,2,0
Renardo Green,24,SFO,CB,17,61,41,20,0,0.0,13,1,0,1,0,0
Zach Allen,27,DEN,LDT,16,61,32,29,15,8.5,1,0,0,0,0,0
Jalen Ramsey,30,MIA,LCB,17,60,39,21,6,1.0,11,2,0,0,0,0
Leo Chenal,24,KAN,RLB,17,60,40,20,4,1.0,3,0,0,3,0,0
Terrion Arnold,21,DET,RCB,16,60,47,13,0,0.0,10,0,0,0,1,0
Jonathan Greenard,27,MIN,ROLB,17,59,41,18,18,12.0,3,0,0,4,0,0
Neville Hewitt,31,HOU,LB,17,59,31,28,0,0.0,3,1,0,2,0,0
C.J. Gardner-Johnson,27,PHI,SS,16,59,35,24,2,0.0,12,6,1,1,0,0
Christian Gonzalez,22,NWE,RCB,16,59,50,9,1,0.0,11,2,0,0,1,1
Trent McDuffie,24,KAN,LCB,16,59,45,14,6,0.5,13,2,0,1,0,0
Jonathon Cooper,26,DEN,LOLB,17,58,33,25,11,10.5,1,0,0,1,0,0
Jonathan Jones,31,NWE,LCB,17,58,41,17,0,0.0,6,0,0,2,0,0
Jordan Battle,24,CIN,S,17,58,35,23,1,0.0,3,1,0,0,1,0
Garrett Williams,23,ARI,LCB,16,58,40,18,0,0.0,9,2,0,1,0,0
Rasul Douglas,29,BUF,LCB,15,58,43,15,5,0.0,5,0,0,1,0,0
Zaven Collins,25,ARI,LOLB,17,57,33,24,7,5.0,1,0,0,2,0,0
Isaiah Oliver,28,NYJ,CB,17,57,42,15,2,1.0,3,0,0,0,0,0
Troy Dye,28,LAC,LB,17,57,34,23,2,1.5,0,0,0,0,0,0
Kamren Kinchens,22,LAR,DB,17,57,36,21,1,0.0,6,4,1,1,1,0
Harrison Phillips,28,MIN,NT,17,56,16,40,2,2.0,4,0,0,1,1,0
Chauncey Golston,26,DAL,RDE,17,56,30,26,5,5.5,5,1,0,0,1,0
Keion White,25,NWE,LDE,17,56,31,25,7,5.0,5,0,0,2,0,0
Dane Belton,24,NYG,S,17,56,28,28,1,1.0,6,1,0,1,1,0
Michael Hoecht,27,LAR,OLB,17,56,24,32,4,3.0,2,0,0,0,0,0
Nazeeh Johnson,26,KAN,S,16,56,33,23,3,1.0,3,0,0,0,0,0
Stephon Gilmore,34,MIN,LCB,15,56,40,16,1,0.0,9,1,0,0,0,0
B.J. Hill,29,CIN,RDT,15,56,25,31,7,3.0,4,0,0,0,0,0
Vonn Bell,30,CIN,FS,17,55,24,31,1,0.0,2,1,0,1,1,0
Noah Igbinoghene,25,WAS,CB,17,55,33,22,1,0.0,7,0,0,0,0,0
Zach Sieler,29,MIA,LDE,15,55,28,27,13,10.0,2,1,0,1,1,0
YaYa Diaby,25,TAM,OLB,17,54,39,15,13,4.5,0,0,0,1,1,0
Derek Stingley Jr.,23,HOU,LCB,17,54,37,17,4,0.0,18,5,0,0,0,0
Calen Bullock,21,HOU,FS,17,54,37,17,0,0.0,11,5,0,0,1,0
Grady Jarrett,31,ATL,LDE,17,53,30,23,9,2.5,0,0,0,0,0,0
Jaylon Johnson,25,CHI,RCB,17,53,42,11,7,0.0,8,2,0,1,0,0
Gregory Rousseau,24,BUF,RDE,16,53,36,17,16,8.0,3,0,0,3,1,0
Calais Campbell,38,MIA,NT,17,52,35,17,12,5.0,5,0,0,1,0,0
Daniel Ekuale,30,NWE,RDE,16,52,24,28,2,1.0,0,0,0,0,0,0
Sean Murphy-Bunting,27,ARI,CB,15,52,30,22,3,0.0,5,3,0,2,0,0
Rakeem Nunez-Roches,31,NYG,LDE,15,52,14,38,2,2.0,2,0,0,0,0,0
T'Vondre Sweat,23,TEN,NT,17,51,22,29,4,1.0,1,0,0,1,1,0
Max Melton,22,ARI,CB,17,51,36,15,2,0.0,5,0,0,1,0,0
Cooper DeJean,21,PHI,DB,16,51,38,13,3,0.5,6,0,0,1,3,0
Gervon Dexter,23,CHI,RDT,15,51,23,28,4,5.0,1,0,0,0,2,0
Kristian Fulton,26,LAC,LCB,15,51,39,12,3,0.0,7,1,0,0,0,0
Marist Liufau,23,DAL,LB,17,50,30,20,4,1.5,3,0,0,2,1,0
Jordan Howden,24,NOR,DB,17,50,27,23,1,0.0,2,2,0,0,0,0
Amik Robertson,26,DET,CB,17,50,40,10,4,0.0,8,0,0,3,0,0
Jonathan Owens,29,CHI,S,17,49,30,19,1,0.0,2,1,0,1,2,0
Mike Brown,25,TEN,S,17,49,26,23,0,0.0,1,0,0,0,0,0
Emmanuel Ogbah,31,MIA,LB,16,49,27,22,9,5.0,2,1,0,1,0,0
Denzel Ward,27,CLE,LCB,16,49,41,8,1,0.0,19,2,0,1,1,0
Luke Gifford,29,TEN,LB,16,49,31,18,1,0.0,2,1,0,0,0,0
Sauce Gardner,24,NYJ,LCB,15,49,36,13,1,1.0,9,1,0,0,0,0
Nik Bonitto,25,DEN,ROLB,17,48,33,15,16,13.5,4,1,1,2,1,1
Jaylinn Hawkins,27,NWE,S,17,48,27,21,3,0.0,1,0,0,0,1,0
Myles Garrett,29,CLE,RDE,17,47,40,7,22,14.0,1,0,0,3,1,0
Rashan Gary,27,GNB,RDE,17,47,26,21,9,7.5,1,0,0,1,1,0
Osa Odighizuwa,26,DAL,LDT,17,47,25,22,5,4.5,1,0,0,1,0,0
DeMarcus Walker,30,CHI,RDE,17,47,25,22,7,3.5,0,0,0,0,0,0
Starling Thomas,24,ARI,RCB,17,47,31,16,1,0.0,6,0,0,1,0,0
Percy Butler,24,WAS,S,17,47,29,18,2,0.0,1,0,0,0,0,0
Trey Hendrickson,30,CIN,RDE,17,46,33,13,19,17.5,6,0,0,2,0,0
Danielle Hunter,30,HOU,RDE,17,46,31,15,17,12.0,3,0,0,1,0,0
John Jenkins,35,LVR,LDT,17,46,13,33,3,1.0,2,0,0,0,0,0
Elandon Roberts,30,PIT,RILB,17,46,24,22,5,1.0,0,0,0,1,0,0
Isaac Yiadom,28,SFO,CB,17,46,38,8,0,0.0,6,1,0,2,2,0
Joseph Ossai,24,CIN,DE,17,46,26,20,4,5.0,1,0,0,2,0,0
Quinyon Mitchell,23,PHI,LCB,16,46,37,9,0,0.0,12,0,0,0,0,0
Shy Tuttle,29,CAR,NT,15,46,22,24,0,0.0,3,0,0,1,2,0
Riq Woolen,25,SEA,RCB,15,46,32,14,0,0.0,14,3,0,1,0,0
David Onyemata,32,ATL,RDE,17,45,23,22,8,3.0,1,0,0,0,0,0
Jarran Reed,32,SEA,RDE,17,45,21,24,5,4.5,2,0,0,1,0,0
Beanie Bishop,25,PIT,CB,17,45,30,15,2,0.5,7,4,0,0,1,0
Josh Hines-Allen,27,JAX,LDE,16,45,26,19,10,8.0,2,0,0,1,1,0
Patrick Surtain II,24,DEN,LCB,16,45,34,11,1,0.0,11,4,1,1,1,0
Bobby Brown,24,LAR,NT,17,44,16,28,4,0.0,1,0,0,0,0,0
Sebastian Joseph-Day,29,TEN,RDE,17,44,18,26,3,2.5,1,0,0,0,0,0
Braden Fiske,24,LAR,RDE,17,44,20,24,10,8.5,0,0,0,2,2,0
Jer'Zhan Newton,22,WAS,LDT,16,44,19,25,6,2.0,1,0,0,1,1,0
Ernest Jones,25,TEN,RILB,6,44,29,15,3,0.0,2,0,0,0,0,0
Nnamdi Madubuike,27,BAL,DT,17,43,21,22,11,6.5,1,0,0,1,0,0
Jaylen McCollough,24,LAR,DB,17,43,26,17,0,0.0,4,4,1,0,0,0
Malcolm Roach,26,DEN,DT,17,43,18,25,5,2.5,2,0,0,1,1,0
Leonard Floyd,32,SFO,RDE,17,42,25,17,8,8.5,1,0,0,1,0,0
D.J. Jones,29,DEN,NT,17,42,21,21,1,1.0,3,0,0,0,1,0
Daron Payne,27,WAS,RDT,17,42,22,20,5,4.0,2,0,0,0,0,0
Travis Jones,25,BAL,NT,17,42,22,20,4,1.0,0,0,0,0,0,0
Tuli Tuipulotu,22,LAC,OLB,17,42,26,16,11,8.5,2,0,0,1,0,0
Vita Vea,29,TAM,NT,16,42,27,15,10,7.0,1,0,0,0,0,0
Jalen Carter,23,PHI,LDT,16,42,25,17,12,4.5,6,0,0,2,0,0
Arden Key,28,TEN,LOLB,16,42,24,18,11,6.5,1,0,0,2,1,0
Nolan Smith,23,PHI,LOLB,16,42,21,21,8,6.5,2,0,0,1,2,0
Dante Stills,25,ARI,DT,16,42,20,22,4,4.5,1,0,0,1,0,0
Jonathan Bullard,31,MIN,RDE,17,41,21,20,7,1.0,3,0,0,0,0,0
Mazi Smith,23,DAL,RDT,17,41,22,19,4,1.0,0,0,0,0,0,0
Matt Judon,32,ATL,ROLB,17,41,25,16,7,5.5,5,1,1,0,0,0
Eric Stokes,25,GNB,RCB,17,41,29,12,0,0.0,0,0,0,0,0,0
Shaquill Griffin,29,MIN,CB,17,41,33,8,1,0.0,6,2,0,0,0,0
Oren Burks,29,PHI,LB,17,41,20,21,2,0.0,1,0,0,2,0,0
Josh Sweat,27,PHI,RLB,16,41,27,14,9,8.0,2,0,0,0,0,0
Kyle Van Noy,33,BAL,ROLB,16,41,25,16,14,12.5,2,0,0,2,1,0
LaBryan Ray,27,CAR,LDE,16,41,15,26,2,1.0,0,0,0,0,0,0
Kwity Paye,26,IND,LDE,15,41,29,12,10,8.0,1,0,0,1,0,0
Javon Kinlaw,27,NYJ,RDT,17,40,27,13,5,4.5,0,0,0,2,1,0
John Franklin-Myers,28,DEN,RDE,17,40,18,22,8,7.0,0,0,0,0,0,0
Darrell Baker,26,TEN,RCB,17,40,32,8,1,0.0,5,0,0,0,0,0
Anthony Nelson,27,TAM,OLB,17,40,25,15,6,4.0,1,0,0,1,1,0
Grant Stuard,26,IND,LB,17,40,25,15,2,0.0,0,0,0,0,0,0
Jarrian Jones,23,JAX,CB,17,40,30,10,1,2.0,8,1,0,0,0,0
Cole Bishop,22,BUF,S,16,40,25,15,1,0.0,2,0,0,1,0,0
Brandin Echols,27,NYJ,CB,16,40,29,11,1,0.0,3,2,0,0,1,0
Cobie Durant,26,LAR,RCB,15,40,28,12,4,1.0,8,1,0,1,0,0
Poona Ford,29,LAC,RDT,17,39,24,15,8,3.0,5,1,0,0,0,0
A.J. Epenesa,26,BUF,LDE,17,39,23,16,8,6.0,2,0,0,2,0,0
Odafe Oweh,26,BAL,LOLB,17,39,25,14,9,10.0,0,0,0,1,0,0
Dante Fowler,30,WAS,LLB,17,39,25,14,14,10.5,1,1,1,2,0,0
Rodney McLeod,34,CLE,S,17,39,28,11,2,0.0,5,0,0,0,1,1
Khalil Mack,33,LAC,LOLB,16,39,20,19,6,6.0,9,0,0,2,1,0
Dorance Armstrong Jr.,27,WAS,RDE,16,39,20,19,7,5.0,1,0,0,2,0,0
Charles Snowden,26,LVR,LDE,16,39,18,21,3,1.5,4,0,0,0,0,0
Arnold Ebiketie,25,ATL,OLB,17,38,26,12,6,6.0,2,0,0,0,1,0
Jonah Elliss,21,DEN,OLB,17,38,24,14,7,5.0,2,0,0,0,0,0
Donte Jackson,29,PIT,LCB,15,38,28,10,2,0.0,8,5,0,0,1,0
Kenny Clark,29,GNB,RDT,17,37,20,17,4,1.0,2,0,0,0,2,0
Otito Ogbonnia,24,LAC,NT,17,37,14,23,0,0.0,0,0,0,0,0,0
Derick Hall,23,SEA,RILB,17,37,20,17,6,8.0,0,0,0,2,1,1
Dadrion Taylor-Demerson,23,ARI,S,17,37,23,14,3,0.0,5,0,0,1,0,0
Quinnen Williams,27,NYJ,NT,16,37,25,12,8,6.0,0,0,0,0,0,0
Nathan Shepherd,31,NOR,RDT,16,37,16,21,3,1.5,0,0,0,0,0,0
Chris Jones,30,KAN,LDT,15,37,19,18,9,5.0,0,0,0,1,0,0
Keeanu Benton,23,PIT,NT,17,36,16,20,2,1.0,6,1,0,0,1,0
Tyrel Dodson,26,MIA,LB,8,36,18,18,0,0.0,4,3,0,0,0,0
Samuel Womack,25,IND,CB,17,36,26,10,0,0.0,9,2,0,0,0,0
Isaiah McGuire,23,CLE,DE,16,36,18,18,8,2.5,0,0,0,3,0,0
Za'Darius Smith,32,2TM,LDE,17,35,22,13,9,9.0,1,0,0,0,0,0
Jonah Laulu,24,LVR,DT,17,35,15,20,3,1.0,3,0,0,0,0,0
Jack Sanborn,24,CHI,LB,17,35,17,18,2,1.5,3,0,0,0,0,0
Krys Barnes,26,ARI,LB,17,35,19,16,3,2.0,0,0,0,0,0,0
George Karlaftis III,23,KAN,LDE,16,35,21,14,9,8.0,5,0,0,0,0,0
Clark Phillips,23,ATL,CB,16,35,27,8,3,0.0,5,1,0,2,1,0
Micheal Clemons,27,NYJ,LOLB,17,34,18,16,4,4.5,0,0,0,1,0,0
Cameron Jordan,35,NOR,LDE,17,34,18,16,7,4.0,4,1,0,0,0,0
Christian Roland-Wallace,23,KAN,CB,17,34,23,11,2,0.0,1,1,0,1,0,0
Dell Pettus,23,NWE,S,17,34,19,15,1,1.0,2,0,0,0,0,0
Maliek Collins,29,SFO,LDT,17,33,20,13,5,5.0,0,0,0,0,2,0
Joshua Williams,25,KAN,CB,17,33,19,14,2,1.0,6,0,0,0,0,0
Devon Key,27,DEN,DB,17,33,17,16,1,1.0,0,0,0,0,0,0
Jeremiah Pharms,28,NWE,DT,16,33,16,17,4,2.0,0,0,0,0,0,0
J.J. Russell,26,TAM,LB,16,33,20,13,0,0.0,2,0,0,0,1,0
Preston Smith,32,2TM,LDE,17,32,12,20,5,4.5,0,0,0,0,1,0
Tavius Robinson,25,BAL,OLB,17,32,13,19,4,3.5,1,0,0,0,0,0
Chad Muma,25,JAX,LB,17,32,12,20,0,0.0,0,0,0,0,0,0
Laiatu Latu,24,IND,DE,17,32,16,16,5,4.0,1,0,0,3,1,0
Montez Sweat,28,CHI,LDE,16,32,18,14,9,5.5,2,0,0,2,0,0
Dayo Odeyingbo,25,IND,RDE,17,31,13,18,7,3.0,0,0,0,2,1,0
Tim Settle,27,HOU,RDT,17,31,24,7,10,5.0,0,0,0,0,1,0
Josh Newton,24,CIN,RCB,17,31,27,4,1,0.0,7,1,0,0,0,0
Da'Shawn Hand,29,MIA,DT,17,31,20,11,5,1.0,1,0,0,1,1,0
Chase Young,25,NOR,DE,17,31,21,10,8,5.5,3,0,0,1,0,0
Tedarrell Slaton,27,GNB,LDT,17,30,15,15,2,1.0,0,0,0,0,0,0
Johnathan Hankins,32,SEA,DT,17,30,15,15,5,1.0,1,1,0,0,0,0
Chris Board,29,BAL,LB,17,30,18,12,2,1.0,1,0,0,0,1,0
Anfernee Orji,24,NOR,LB,16,30,16,14,2,0.0,0,0,0,0,0,0
Darnay Holmes,26,LVR,CB,16,30,14,16,2,1.0,3,0,0,0,0,0
L.J. Collier,29,ARI,LDE,17,29,13,16,4,3.5,2,0,0,0,1,0
Tershawn Wharton,26,KAN,RDT,17,29,18,11,7,6.5,2,0,0,1,0,0
Arik Armstead,31,JAX,DE,17,29,21,8,3,2.0,3,0,0,0,0,0
Jaden Hicks,22,KAN,DB,17,29,23,6,3,0.0,5,3,0,0,0,0
Teair Tart,27,LAC,DT,17,29,15,14,5,1.0,2,1,0,1,1,0
Ty Summers,29,NYG,LB,16,29,13,16,1,0.0,1,0,0,0,0,0
Will McDonald,25,NYJ,LDE,17,28,18,10,11,10.5,3,0,0,2,1,0
Jerry Tillery,28,MIN,LDE,17,28,13,15,1,0.0,2,0,0,1,0,0
